Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,16.055000,16.209999,15.075000,15.655000,11.410791,41366139
2018-11-19,15.700000,15.795000,14.790000,14.860000,10.831323,29216842
2018-11-26,14.950000,15.300000,14.805000,15.250000,11.115593,37569424
2018-12-03,15.615000,15.705000,14.315000,14.785000,10.776657,44371299
2018-12-10,14.640000,14.970000,14.360000,14.790000,10.780301,45217207
2018-12-17,14.750000,14.910000,14.195000,14.370000,10.474167,59078721
2018-12-24,14.175000,14.215000,13.605000,14.165000,10.324744,21120781
2018-12-31,14.210000,14.705000,13.785000,14.595000,10.951389,31328674
2019-01-07,14.660000,14.900000,14.330000,14.750000,11.067697,40411843
2019-01-14,14.575000,15.105000,14.455000,15.000000,11.255283,39658570
2019-01-21,15.010000,15.185000,14.735000,15.045000,11.289050,27050985
2019-01-28,14.990000,15.335000,14.680000,15.270000,11.457878,28426262
2019-02-04,15.280000,15.520000,14.800000,14.860000,11.150233,36702395
2019-02-11,14.915000,15.295000,14.865000,15.170000,11.382843,31947852
2019-02-18,15.230000,15.310000,15.035000,15.155000,11.371586,22496670
2019-02-25,15.210000,15.280000,14.930000,15.115000,11.341574,31714223
2019-03-04,15.130000,15.180000,14.705000,14.755000,11.071446,29541050
2019-03-11,14.800000,15.210000,14.740000,15.000000,11.255283,41892749
2019-03-18,15.100000,15.660000,15.015000,15.210000,11.412857,38583729
2019-03-25,15.105000,15.330000,15.055000,15.260000,11.450375,21077678
2019-04-01,15.310000,15.565000,15.110000,15.340000,11.510404,26198114
2019-04-08,15.320000,15.415000,15.010000,15.075000,11.311560,49136054
2019-04-15,15.070000,15.165000,14.825000,15.065000,11.304054,21047331
2019-04-22,15.065000,15.350000,14.675000,14.745000,11.063944,31695042
2019-04-29,14.740000,15.325000,14.600000,14.760000,11.075198,24533736
2019-05-06,14.570000,14.660000,14.195000,14.285000,10.718781,32138816
2019-05-13,14.285000,14.830000,14.165000,14.790000,11.097709,43940002
2019-05-20,14.805000,15.100000,14.375000,14.515000,10.891363,37890582
2019-05-27,14.595000,14.780000,14.330000,14.460000,10.850092,38974889
2019-06-03,14.340000,14.835000,14.185000,14.660000,11.000163,66312618
2019-06-10,14.770000,14.810000,14.235000,14.300000,10.730037,32700229
2019-06-17,13.905000,14.075000,13.580000,14.075000,10.561209,78071696
2019-06-24,13.995000,14.175000,13.605000,13.785000,10.722259,47511997
2019-07-01,13.910000,14.140000,13.705000,13.740000,10.687257,31857800
2019-07-08,13.795000,14.000000,13.590000,13.950000,10.850599,37400132
2019-07-15,13.950000,14.000000,13.225000,13.305000,10.348905,42521845
2019-07-22,13.355000,14.680000,13.280000,14.585000,11.344516,79004975
2019-07-29,14.555000,14.670000,13.760000,13.815000,10.745593,55662162
2019-08-05,13.735000,13.740000,13.040000,13.120000,10.205009,37425249
2019-08-12,13.165000,13.255000,12.365000,12.475000,9.703314,35673819
2019-08-19,12.620000,12.940000,12.525000,12.550000,9.761651,36142199
2019-08-26,12.490000,13.380000,12.455000,13.220000,10.282789,50080245
2019-09-02,13.235000,13.920000,13.235000,13.615000,10.590028,36050305
2019-09-09,13.735000,14.270000,13.690000,13.985000,10.877823,30413786
2019-09-16,14.255000,14.415000,13.820000,14.210000,11.052833,52587338
2019-09-23,14.255000,14.435000,13.910000,14.305000,11.126726,27986347
2019-09-30,14.315000,14.450000,13.625000,13.785000,10.722259,30082172
2019-10-07,13.830000,14.555000,13.745000,14.555000,11.321180,26019656
2019-10-14,14.430000,14.955000,14.370000,14.500000,11.278401,34388800
2019-10-21,14.470000,15.035000,14.465000,14.990000,11.659532,24901064
2019-10-28,15.040000,15.310000,14.670000,15.145000,11.780096,41138595
2019-11-04,15.265000,15.665000,14.880000,15.040000,11.698422,50013585
2019-11-11,15.040000,15.190000,14.555000,14.690000,11.426186,31162693
2019-11-18,14.680000,14.785000,14.365000,14.600000,11.356183,24021608
2019-11-25,14.700000,14.750000,14.250000,14.290000,11.115058,31819761
2019-12-02,14.310000,14.685000,13.975000,14.635000,11.383407,40707337
2019-12-09,14.660000,14.665000,14.180000,14.325000,11.142282,30980167
2019-12-16,14.440000,14.470000,13.910000,14.085000,10.955605,56130302
2019-12-23,14.040000,14.265000,14.020000,14.200000,11.380136,8121449
2019-12-30,14.180000,14.280000,13.930000,14.240000,11.412192,14580243
2020-01-06,14.260000,14.475000,14.135000,14.320000,11.476306,28521449
2020-01-13,14.350000,14.350000,14.015000,14.040000,11.251909,27563801
2020-01-20,14.065000,14.075000,13.045000,13.100000,10.498577,55857616
2020-01-27,12.935000,12.935000,12.410000,12.465000,9.989676,52876612
2020-02-03,12.465000,12.970000,12.285000,12.755000,10.222087,60985558
2020-02-10,12.750000,12.895000,12.545000,12.650000,10.137938,27982502
2020-02-17,12.565000,12.650000,11.900000,11.955000,9.580953,60110523
2020-02-24,11.705000,11.720000,10.015000,10.130000,8.118364,97665057
