Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,4.082501,4.147667,4.001042,4.044167,3.278231,217930795
2018-11-19,4.059980,4.104542,3.888438,3.917188,3.175301,180025884
2018-11-26,3.969896,4.100709,3.967500,4.010626,3.251042,190835538
2018-12-03,4.094001,4.122751,3.802667,3.813209,3.091015,274403494
2018-12-10,3.785417,3.956959,3.703959,3.890355,3.153550,290268814
2018-12-17,3.890834,3.917667,3.719771,3.766730,3.053339,424908327
2018-12-24,3.737500,3.799313,3.641667,3.780625,3.064601,107439741
2018-12-31,3.771042,4.007751,3.670417,3.986188,3.231232,137862521
2019-01-07,4.013021,4.119396,3.962230,4.104542,3.327171,292384988
2019-01-14,4.071480,4.177376,4.015417,4.174021,3.383491,512957235
2019-01-21,4.175459,4.235834,4.095917,4.233917,3.432044,995580941
2019-01-28,4.207084,4.231042,3.858730,3.899938,3.161318,396100720
2019-02-04,3.886521,3.976125,3.777750,3.797875,3.125394,1175757765
2019-02-11,3.833334,3.945938,3.785417,3.929167,3.233438,391680258
2019-02-18,3.936355,4.008230,3.877417,3.956000,3.255520,169370024
2019-02-25,3.989542,4.157251,3.922459,4.077230,3.355284,260510470
2019-03-04,4.101667,4.163480,3.871667,3.908563,3.216482,227006814
2019-03-11,3.932521,4.198938,3.900417,4.198938,3.455442,357103110
2019-03-18,4.206126,4.334542,3.971334,3.973250,3.269716,290388807
2019-03-25,3.967500,4.098313,3.905209,3.971813,3.268533,298798468
2019-04-01,4.011105,4.238230,3.984750,4.218584,3.471609,299260882
2019-04-08,4.218584,4.449542,4.170188,4.369042,3.595425,347085150
2019-04-15,4.364730,4.486917,4.313459,4.416959,3.634858,1108242254
2019-04-22,4.416959,4.417917,4.255480,4.301001,3.539433,287058982
2019-04-29,4.228167,4.365209,4.192230,4.224813,3.476735,758526179
2019-05-06,4.130417,4.186001,3.934917,3.949771,3.298162,649944335
2019-05-13,3.953125,4.023084,3.866875,3.985709,3.328171,280300742
2019-05-20,3.980438,4.024521,3.828063,3.852500,3.216938,234781425
2019-05-27,3.890834,3.928688,3.775834,3.787334,3.162523,194332071
2019-06-03,3.756667,3.901855,3.739417,3.799313,3.172525,256184839
2019-06-10,3.837167,3.892750,3.770084,3.789730,3.164524,140092127
2019-06-17,3.807459,3.913834,3.742292,3.833813,3.201334,348764637
2019-06-24,3.829500,3.919584,3.777750,3.910480,3.265353,315328691
2019-07-01,3.933959,4.082021,3.894667,4.044646,3.377385,184889499
2019-07-08,4.033146,4.078667,3.939230,4.013501,3.351378,270928218
2019-07-15,4.022126,4.049917,3.819917,3.836209,3.203334,216058028
2019-07-22,3.836209,4.081063,3.800271,3.891792,3.249748,235868790
2019-07-29,3.882209,3.895146,3.581771,3.598542,3.004877,263767049
2019-08-05,3.565000,3.596625,3.424125,3.463896,2.892443,276317710
2019-08-12,3.495521,3.497917,3.278459,3.436105,2.869237,349267395
2019-08-19,3.461500,3.497917,3.322063,3.323021,2.774809,209594111
2019-08-26,3.315834,3.386271,3.288521,3.296667,2.752803,228154793
2019-09-02,3.305292,3.428438,3.244438,3.383875,2.825624,282973372
2019-09-09,3.396334,3.689105,3.389146,3.661792,3.057692,334764289
2019-09-16,3.630167,3.640230,3.465813,3.603334,3.008878,469448324
2019-09-23,3.574584,3.595667,3.389625,3.545834,2.960864,230787831
2019-09-30,3.558292,3.617709,3.325896,3.380521,2.822824,267532749
2019-10-07,3.370459,3.641188,3.320146,3.634000,3.034485,198816559
2019-10-14,3.605730,3.818480,3.560209,3.708750,3.096903,617101981
2019-10-21,3.746125,3.873105,3.737980,3.816084,3.186530,1079198739
2019-10-28,3.833334,3.844355,3.407834,3.459584,2.888843,506318386
2019-11-04,3.503667,3.704438,3.498396,3.605250,3.088338,1095846604
2019-11-11,3.572667,3.635438,3.383396,3.425084,2.934004,366903399
2019-11-18,3.430834,3.511813,3.333563,3.461021,2.964788,240285186
2019-11-25,3.496000,3.512292,3.354167,3.389625,2.903629,220153422
2019-12-02,3.396813,3.442334,3.293313,3.435625,2.943033,291313310
2019-12-09,3.430834,3.689584,3.384834,3.556375,3.046470,362727583
2019-12-16,3.574105,3.663230,3.574105,3.663230,3.138005,503596742
2019-12-23,3.639750,3.642625,3.569792,3.599980,3.083823,115768154
2019-12-30,3.588959,3.714500,3.531938,3.647417,3.124459,137898500
2020-01-06,3.612917,3.655084,3.552542,3.562605,3.051807,202198746
2020-01-13,3.572667,3.579855,3.407355,3.524271,3.018969,371535572
2020-01-20,3.509896,3.515167,3.386271,3.392500,2.906091,220984544
2020-01-27,3.357521,3.579375,3.299542,3.405917,2.917585,291025263
2020-02-03,3.427959,3.706355,3.372375,3.698209,3.167969,302357821
2020-02-10,3.677605,3.790209,3.652209,3.760021,3.220918,270034219
2020-02-17,3.774396,3.798834,3.590396,3.624417,3.104757,216558363
2020-02-24,3.497917,3.533855,3.120334,3.188375,2.731234,485332163
2020-03-02,3.267917,3.272229,2.858229,2.917646,2.499321,586149236
2020-03-09,2.779167,2.780125,2.099708,2.163438,1.853249,872879867
2020-03-16,2.098750,2.127500,1.848050,2.021125,1.731341,751227241
2020-03-23,1.928167,2.415000,1.926729,2.216146,1.898400,443491399
2020-03-30,2.156250,2.186438,1.984229,2.009625,1.721490,416439182
2020-04-06,2.113604,2.261188,2.060417,2.074792,1.777313,310634606
2020-04-13,2.074792,2.127500,1.869708,1.877758,1.608530,378801689
2020-04-20,1.910917,1.932958,1.786908,1.824667,1.563051,349928745
2020-04-27,1.906125,2.104021,1.840958,1.952604,1.672644,315664815
2020-05-04,1.910917,1.955000,1.845942,1.914750,1.723295,263026605
2020-05-11,1.935833,1.972250,1.725000,1.757392,1.581672,320416064
2020-05-18,1.794575,1.924333,1.702000,1.816808,1.635147,442404695
2020-05-25,1.849583,2.079583,1.822367,1.952604,1.757365,482195964
2020-06-01,2.004833,2.424583,1.950208,2.421708,2.179564,576249642
2020-06-08,2.395833,2.491667,2.071917,2.120792,1.908736,615987949
2020-06-15,2.014896,2.216146,2.012500,2.063292,1.856985,705174172
2020-06-22,2.049396,2.177333,2.004833,2.033104,1.829816,321071174
2020-06-29,2.041729,2.228125,2.018729,2.134688,1.921242,282746415
2020-07-06,2.214708,2.281792,2.055625,2.127500,1.914773,267656547
2020-07-13,2.170146,2.202729,2.085813,2.122708,1.910460,282207471
2020-07-20,2.117917,2.216146,1.999083,2.037417,1.833697,261075369
2020-07-27,2.022083,2.025438,1.733242,1.733242,1.559937,380261356
2020-08-03,1.744167,1.870858,1.692800,1.758350,1.582534,295522759
2020-08-10,1.796875,1.963146,1.779625,1.846900,1.662230,284181183
2020-08-17,1.838850,1.866642,1.725958,1.751067,1.575979,193307858
2020-08-24,1.769275,1.890025,1.763525,1.880250,1.692245,201015600
2020-08-31,1.897500,1.907083,1.739758,1.826200,1.643600,308113544
2020-09-07,1.852075,1.875458,1.725000,1.730175,1.557176,298719385
2020-09-14,1.749342,1.753750,1.605017,1.624758,1.462300,481675455
2020-09-21,1.601950,1.601950,1.439417,1.485033,1.336546,453743729
2020-09-28,1.521642,1.586233,1.478325,1.512825,1.361559,310789377
2020-10-05,1.533333,1.662325,1.518575,1.623417,1.461093,303890979
2020-10-12,1.617283,1.634533,1.495958,1.574158,1.416759,242968352
2020-10-19,1.575692,1.686667,1.558250,1.671333,1.504218,300579807
2020-10-26,1.627633,1.732667,1.560167,1.639517,1.475583,379557840
2020-11-02,1.661942,1.781542,1.640667,1.712542,1.541306,363139292
2020-11-09,1.730942,2.311021,1.716950,2.286583,2.057949,822264015
2020-11-16,2.400000,2.440000,2.283000,2.336500,2.102875,422650976
2020-11-23,2.358500,2.520000,2.336000,2.465000,2.218527,332111010
2020-11-30,2.438000,2.862000,2.385500,2.862000,2.575830,517050835
2020-12-07,2.830000,2.832500,2.525500,2.575000,2.317528,358594432
2020-12-14,2.636000,2.735000,2.578500,2.578500,2.320678,430803627
2020-12-21,2.459500,2.676500,2.410000,2.670000,2.403029,280998077
2020-12-28,2.700000,2.712000,2.531000,2.538000,2.284227,99998618
2021-01-04,2.592000,2.800000,2.514000,2.760000,2.484030,287005972
2021-01-11,2.766500,2.866000,2.704500,2.720500,2.448479,348318488
2021-01-18,2.700000,2.771000,2.548000,2.581000,2.322928,340881365
2021-01-25,2.598500,2.618500,2.375000,2.415000,2.173526,260566803
2021-02-01,2.457500,2.788500,2.412000,2.788000,2.509230,374597626
2021-02-08,2.823500,2.880000,2.723500,2.795000,2.515530,252956727
2021-02-15,2.848000,2.994000,2.827000,2.975500,2.677982,292537936
2021-02-22,2.950000,3.068000,2.851500,2.897500,2.607781,291980422
2021-03-01,2.940000,3.039000,2.871000,2.980000,2.682032,315557488
2021-03-08,3.030000,3.063000,2.854000,2.973500,2.676182,253962784
2021-03-15,2.980000,3.025000,2.887000,2.891000,2.601931,301490016
2021-03-22,2.885000,2.967000,2.773000,2.896000,2.606431,215095686
2021-03-29,2.875500,2.948000,2.851000,2.883000,2.594731,144038221
2021-04-05,2.883000,2.971000,2.879000,2.903000,2.612731,150128889
2021-04-12,2.898000,2.945000,2.832500,2.874000,2.586631,192256193
2021-04-19,2.881000,2.978500,2.766500,2.847000,2.562330,339846050
2021-04-26,2.851000,3.220000,2.816000,3.215000,2.893534,337350810
2021-05-03,3.210000,3.256000,3.136500,3.216000,2.919540,273870285
2021-05-10,3.249000,3.360000,3.198500,3.353000,3.043911,266086780
2021-05-17,3.344000,3.398000,3.253000,3.369500,3.058890,252317667
2021-05-24,3.390000,3.489500,3.290000,3.450500,3.132423,212717301
2021-05-31,3.455000,3.509000,3.420000,3.442500,3.125160,192519231
2021-06-07,3.425000,3.508000,3.362500,3.434500,3.117898,279478153
2021-06-14,3.456000,3.475000,3.250500,3.288500,2.985357,398782248
2021-06-21,3.238500,3.359500,3.211500,3.355500,3.046180,177315976
2021-06-28,3.349500,3.357500,3.207000,3.222500,2.925441,139997224
2021-07-05,3.221000,3.290000,3.025000,3.129500,2.841014,181754547
2021-07-12,3.141000,3.158000,3.008000,3.038000,2.757948,154239157
2021-07-19,3.000000,3.169000,2.882000,3.126000,2.837836,196489243
2021-07-26,3.094000,3.213500,3.048000,3.087500,2.802886,207669108
2021-08-02,3.109500,3.228000,3.055500,3.226500,2.929072,138891278
2021-08-09,3.225500,3.310000,3.190000,3.263500,2.962661,139758331
2021-08-16,3.223000,3.253500,3.023000,3.076000,2.792445,164897197
2021-08-23,3.095000,3.206500,3.080000,3.166000,2.874149,109103505
2021-08-30,3.162500,3.207000,3.071500,3.076000,2.792445,161819440
2021-09-06,3.097000,3.139500,3.022000,3.043000,2.762488,162136193
2021-09-13,3.070000,3.163000,3.040000,3.040000,2.759764,320995941
2021-09-20,2.984000,3.116000,2.881000,3.099000,2.813325,228493386
2021-09-27,3.127500,3.239000,3.041500,3.123500,2.835567,242344907
2021-10-04,3.124000,3.375000,3.093000,3.350000,3.041188,231458328
2021-10-11,3.337500,3.393000,3.260500,3.345500,3.037102,211837559
2021-10-18,3.345000,3.380000,3.282000,3.282000,2.979456,695191253
2021-10-25,3.300000,3.374500,3.187500,3.276500,2.974463,310701110
2021-11-01,3.280000,3.353500,3.215000,3.284000,3.026009,664546653
2021-11-08,3.278000,3.300000,3.163500,3.185500,2.935247,280612477
2021-11-15,3.164000,3.235000,3.012500,3.058500,2.818225,305893854
2021-11-22,3.072500,3.118500,2.783000,2.783000,2.564368,334875776
2021-11-29,2.851000,2.856000,2.717500,2.763500,2.546400,286654675
2021-12-06,2.788000,2.847500,2.683000,2.701000,2.488809,227600626
2021-12-13,2.704000,2.795000,2.653000,2.775000,2.556996,313014334
2021-12-20,2.700000,2.919000,2.691500,2.901500,2.673558,197392125
2021-12-27,2.873500,2.951000,2.873000,2.940500,2.709495,104434508
2022-01-03,2.950000,3.119500,2.927000,3.112500,2.867982,207436694
2022-01-10,3.131000,3.167000,3.087500,3.166500,2.917740,241608986
2022-01-17,3.189500,3.193000,3.042000,3.082500,2.840339,244638111
2022-01-24,3.065500,3.233500,2.914000,3.146500,2.899311,315215591
2022-01-31,3.184500,3.336500,3.072000,3.254000,2.998366,311603379
2022-02-07,3.297500,3.482000,3.224500,3.481500,3.207994,303994533
2022-02-14,3.344000,3.461500,3.304500,3.322000,3.061024,260050158
2022-02-21,3.342500,3.379000,2.935000,3.118500,2.873511,400355458
2022-02-28,2.981500,3.017500,2.712500,2.718500,2.504935,513686526
2022-03-07,2.615000,3.009000,2.490000,2.864000,2.639004,423465351
