country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,237M,212M,62M,128M,25M,150M,57M,218M,236M,110M,219M,181M,520M,599M,256M,539M,582M,554M,892M,406M,368M,64M,75M,91M,124M,88M,138M,233M,128M,746M,148M,178M,90M,58M,313M,248M,545M,474M,240M,365M,121M,631M,223M,110M,85M,223M,178M,188M,179M,155M,310M,306M,327M,223M,209M,219M,109M,96M,269M,168M,158M
Barbados,,,,,,,,,,,,,,,,,,,,,,9M,,,1M,,,,,,,,,,,,,,,,,,,,,,,10M,10M,10M,,,,,,,,,,,
Brunei,,,,,,5M,1M,18M,1M,,5M,18M,2M,1M,15M,1M,0,,45M,64M,,8M,12M,85M,60M,,13M,,,,3M,3M,,,,,17M,32M,7M,5M,,4M,1M,0,0,1M,2M,,,33M,33M,229M,20M,15M,121M,36M,,,,,
Bhutan,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1M,1M,,,,
Botswana,,,,,,,,,,,,,,,,,,1M,1M,7M,2M,9M,,,,4M,,26M,40M,4M,23M,2M,2M,11M,,11M,32M,71M,2M,,53M,15M,1M,10M,9M,,,,,13M,10M,,6M,9M,,,5M,,6M,8M,88M
Central African Republic,,2M,,,,1M,2M,,3M,,,2M,,0,,,,,0,,0,1M,2M,5M,1M,6M,,,1M,,,,1M,,,,,,,,,,,,,,9M,,0,,,7M,,,,,,,1M,,1M
Canada,171M,1.58B,1.23B,1.04B,764M,563M,306M,237M,336M,516M,623M,455M,382M,80M,224M,195M,28M,28M,172M,235M,441M,452M,276M,649M,646M,848M,810M,787M,742M,67M,160M,751M,407M,198M,475M,408M,427M,362M,130M,198M,576M,538M,436M,152M,353M,118M,112M,476M,420M,101M,228M,336M,197M,202M,316M,408M,233M,331M,160M,174M,207M
Switzerland,219M,37M,4M,52M,263M,226M,371M,174M,197M,166M,141M,149M,187M,116M,64M,138M,143M,5M,218M,227M,274M,290M,177M,443M,404M,341M,108M,151M,179M,319M,440M,476M,388M,104M,119M,93M,187M,379M,436M,507M,23M,68M,63M,117M,203M,168M,83M,108M,17M,39M,48M,32M,10M,6M,5M,12M,73M,34M,10M,13M,10M
Chile,312M,46M,19M,127M,34M,57M,74M,150M,62M,13M,57M,198M,51M,278M,297M,194M,414M,58M,154M,137M,149M,148M,344M,140M,450M,10M,173M,155M,86M,140M,130M,109M,173M,88M,82M,333M,175M,296M,88M,207M,202M,60M,74M,187M,70M,446M,1.09B,655M,392M,329M,473M,326M,62M,54M,141M,144M,40M,50M,73M,1M,293M
China,2.43B,936M,307M,450M,395M,218M,233M,145M,182M,2M,2M,2M,2M,3M,3M,3M,3M,75M,86M,12M,7M,2M,15M,27M,73M,115M,17M,53M,106M,201M,303M,482M,1.23B,1.24B,327M,739M,1.53B,952M,403M,1.75B,2.52B,2.82B,2.87B,2.33B,3.29B,3.56B,2.85B,1.64B,1.81B,1.37B,981M,1.05B,1.57B,1.29B,1.08B,1.26B,1.14B,1.34B,1.96B,1.35B,811M
Cote d'Ivoire,,3M,1M,1M,,,2M,3M,19M,2M,7M,17M,1M,,18M,,,22M,16M,38M,55M,18M,,,9M,,,,,2M,,,0,,,2M,,0,,2M,0,,31M,61M,9M,,,,,,,,,,5M,5M,5M,14M,9M,14M,7M
Cameroon,,0,,2M,0,2M,2M,3M,3M,,,8M,1M,12M,,,29M,73M,,1M,,28M,114M,5M,126M,16M,11M,5M,1M,3M,8M,,3M,,,,4M,6M,9M,4M,,7M,6M,,,5M,2M,,1M,,10M,,9M,139M,122M,9M,20M,8M,2M,4M,
"Congo, Dem. Rep.",2M,9M,13M,32M,83M,31M,26M,16M,7M,28M,19M,155M,15M,5M,9M,379M,131M,31M,38M,15M,10M,12M,15M,5M,16M,1M,1M,36M,1M,,4M,,2M,,,0,61M,6M,10M,46M,88M,15M,12M,,,19M,17M,,18M,44M,151M,,10M,1M,,2M,43M,,1M,,6M
"Congo, Rep.",1M,1M,,0,,0,,,1M,24M,9M,27M,2M,,7M,2M,2M,,35M,25M,17M,3M,11M,25M,25M,3M,,,28M,44M,44M,,,,,,,27M,0,1M,0,,,,,4M,1M,0,,1M,27M,,23M,12M,13M,2M,,,,,
Colombia,5M,62M,3M,29M,9M,18M,32M,15M,32M,121M,4M,35M,122M,159M,1M,287M,10M,8M,12M,36M,12M,28M,18M,301M,661M,7M,6M,4M,37M,218M,13M,72M,37M,69M,42M,35M,49M,190M,162M,44M,60M,269M,171M,145M,18M,16M,51M,226M,109M,249M,255M,145M,207M,164M,160M,193M,21M,99M,16M,13M,77M
Comoros,,,,,,,,,,,,,,,,,1M,1M,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,6M,,,,1M,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,2M,,,18M,,,26M,,,,,,,,,,4M,,,,,,9M,,1M,,,,,,,,,2M,,,10M,,,,,,,3M,
Costa Rica,,,,1M,,,0,,,,,,,2M,,3M,,,6M,2M,1M,,,,0,2M,1M,,,2M,,,,3M,,,,,,,,,,,,,,,,,,,1M,,1M,,,,,,
Cuba,129M,542M,1.32B,284M,248M,130M,232M,162M,155M,155M,155M,162M,452M,420M,408M,200M,316M,609M,503M,410M,347M,989M,976M,770M,418M,352M,281M,73M,167M,94M,169M,159M,,,,,,,,,,,,,8M,,,,,,,,,,,,,,,,
Cyprus,,,,,18M,22M,,,,,,,,9M,,,,,,,,,5M,19M,23M,32M,38M,33M,122M,29M,70M,82M,26M,10M,39M,33M,170M,98M,7M,113M,4M,115M,1M,6M,16M,20M,26M,17M,,,44M,41M,6M,,,,,30M,,19M,29M
Czech Republic,534M,667M,547M,585M,579M,698M,690M,754M,868M,846M,743M,1.1B,956M,1.06B,1.09B,837M,213M,300M,560M,498M,468M,824M,898M,806M,920M,1.16B,807M,662M,587M,872M,277M,57M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,2.03B,2.02B,2.46B,3.28B,3.71B,3.32B,3.21B,1.34B,1.2B,1.26B,1.48B,2.37B,838M,1.74B,2.13B,1.83B,1.39B,1.04B,691M,65M,150M,261M,453M,434M,412M,130M,310M,320M,429M,707M,716M,695M,685M,535M,423M,228M,246M,60M,543M,129M,113M,133M,71M,64M,238M,199M,409M,75M,285M,339M,282M,84M,131M,113M,95M,96M,55M,43M,14M,33M,33M
Djibouti,,,,,,,,,,,,,,,,,,3M,6M,33M,5M,2M,3M,3M,,1M,8M,1M,,,,1M,19M,5M,,2M,,,,,1M,,3M,,4M,7M,,,,,,,6M,5M,14M,1M,10M,,,8M,
Denmark,109M,335M,57M,133M,482M,449M,66M,72M,71M,19M,312M,362M,111M,,39M,149M,356M,368M,362M,57M,570M,567M,560M,231M,72M,89M,16M,99M,99M,185M,124M,151M,71M,46M,85M,133M,71M,77M,116M,68M,50M,146M,45M,54M,224M,116M,84M,147M,93M,130M,17M,,105M,38M,173M,42M,102M,52M,49M,45M,65M
Dominican Republic,19M,11M,0,7M,5M,10M,9M,1M,1M,0,1M,2M,7M,0,,2M,12M,,,,9M,5M,31M,,25M,2M,0,,3M,,,,,,,,4M,,6M,1M,13M,5M,0,8M,35M,2M,,,,10M,50M,12M,,,,1M,0,,,,
Algeria,,7M,61M,85M,177M,331M,437M,524M,57M,79M,14M,14M,180M,110M,13M,56M,132M,1.05B,1.26B,1.82B,1.34B,1.39B,1.36B,701M,659M,368M,146M,369M,320M,455M,734M,1.03B,20M,20M,182M,296M,83M,37M,98M,370M,403M,540M,248M,195M,242M,159M,340M,507M,1.52B,1.07B,835M,1.13B,661M,362M,620M,898M,2.9B,1.13B,1.28B,164M,549M
Ecuador,66M,,,3M,3M,29M,9M,21M,5M,1M,5M,81M,35M,15M,22M,40M,224M,570M,191M,110M,257M,123M,262M,403M,360M,23M,25M,40M,26M,20M,3M,136M,4M,18M,9M,36M,29M,95M,27M,16M,,10M,1M,,15M,47M,17M,2M,102M,77M,89M,68M,88M,11M,53M,27M,26M,20M,5M,3M,23M
Egypt,143M,544M,686M,737M,843M,950M,1.53B,2.2B,1.27B,1.24B,1.68B,1.98B,3.26B,2.56B,1.08B,565M,159M,410M,135M,630M,1B,1.18B,2.49B,1.69B,1.5B,969M,1.48B,1.65B,420M,295M,562M,884M,970M,1.25B,2.02B,1.72B,981M,1.04B,480M,514M,832M,831M,716M,630M,654M,797M,722M,690M,333M,159M,686M,630M,281M,673M,420M,1.44B,1.69B,2.4B,1.68B,1.05B,1.31B
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21M,18M,7M,41M,53M,214M,31M,20M,57M,18M,17M,80M,98M,,4M,,,,,,,,,,,,,
Spain,231M,112M,55M,14M,60M,401M,277M,279M,133M,191M,241M,617M,767M,906M,582M,1.19B,832M,280M,492M,659M,692M,630M,517M,605M,84M,331M,1.11B,1.11B,1.96B,856M,708M,110M,211M,301M,855M,357M,425M,212M,86M,371M,329M,151M,277M,254M,315M,363M,315M,339M,349M,231M,288M,168M,224M,155M,109M,135M,86M,82M,142M,40M,57M
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,3M,15M,17M,1M,12M,4M,1M,27M,,1M,13M,8M,20M,7M,19M,29M,43M,13M,1M,2M,18M,2M,18M,29M,33M,17M,54M,15M
Ethiopia,24M,4M,21M,27M,4M,14M,99M,31M,34M,24M,89M,54M,33M,5M,16M,58M,135M,1.11B,965M,113M,330M,328M,516M,353M,273M,247M,348M,239M,155M,47M,2M,80M,,,,,,69M,211M,155M,140M,,20M,174M,239M,,,,,,54M,76M,193M,153M,33M,10M,5M,1M,12M,74M,
Finland,54M,65M,38M,237M,77M,81M,42M,76M,23M,21M,15M,5M,26M,13M,172M,127M,90M,30M,105M,47M,328M,119M,132M,112M,126M,203M,97M,69M,143M,85M,90M,65M,442M,407M,248M,197M,553M,398M,562M,770M,474M,9M,17M,242M,67M,92M,131M,141M,135M,42M,52M,58M,77M,296M,198M,293M,160M,76M,130M,66M,45M
Fiji,,,,,,,,,,,,,,,,8M,4M,,,,,,,,,,,,,,1M,,3M,,6M,12M,,,,,,,,,,,,,,,,,,,,,,1M,,,7M
France,507M,325M,122M,162M,1.3B,378M,106M,93M,113M,39M,34M,47M,28M,51M,46M,45M,196M,204M,241M,107M,70M,101M,137M,103M,68M,15M,96M,84M,137M,107M,60M,945M,420M,91M,75M,100M,66M,226M,174M,110M,104M,66M,43M,57M,93M,2M,67M,74M,5M,76M,106M,48M,90M,107M,17M,42M,45M,76M,183M,99M,145M
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,14M,,,,,,,6M,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,3M,,,3M,0,2M,,2M,4M,1M,24M,,2M,10M,35M,48M,28M,77M,,26M,37M,5M,11M,98M,2M,7M,10M,28M,10M,29M,,,,,,,,,,,,,,6M,,20M,18M,,,22M,5M,1M,2M,,5M,3M,,,25M,
UK,29M,34M,38M,139M,118M,152M,216M,1.42B,2.29B,2.57B,60M,171M,217M,234M,319M,337M,251M,256M,179M,220M,544M,800M,757M,286M,633M,355M,273M,207M,278M,205M,117M,936M,1.13B,784M,414M,492M,568M,496M,741M,125M,871M,1.27B,720M,775M,218M,32M,328M,796M,496M,376M,493M,366M,583M,494M,211M,397M,259M,1B,519M,342M,764M
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4M,,,,4M,28M,23M,6M,85M,,1M,37M,92M,97M,161M,132M,38M,,2M,,5M,1M,,,7M,43M,6M,
Ghana,12M,107M,20M,6M,40M,40M,24M,1M,,,,,12M,8M,19M,28M,39M,,18M,7M,38M,50M,,,,5M,,13M,,2M,4M,1M,,,11M,,7M,5M,,7M,1M,12M,1M,6M,35M,0,0,16M,,11M,2M,76M,39M,63M,14M,13M,22M,,0,4M,
Guinea,33M,0,,0,0,17M,,6M,,0,1M,4M,4M,18M,24M,2M,18M,8M,45M,69M,,1M,1M,1M,,,39M,,,40M,1M,1M,,,,,,,4M,,18M,6M,,2M,,1M,,0,,,4M,1M,4M,,6M,,,2M,,,
Gambia,,,,,,,,,,0,,,,,,,,,,,,3M,,,,,,,,12M,,,,,,,,,,,,,,,5M,,,,,16M,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,21M,10M,12M,,14M,24M,2M,1M,,,11M,,35M,,20M,,20M,6M,,5M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,4M,,1M,,5M,,,,,,,,,,,,,,,,,3M,,7M,,,7M,11M,7M,28M,30M,68M,3M,57M,65M,2M,92M,,,,7M,,
