country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kenya,,,,,6M,15M,19M,2M,2M,3M,0,20M,9M,2M,28M,25M,17M,58M,211M,56M,119M,144M,91M,20M,12M,6M,26M,176M,,23M,42M,14M,,,30M,,,58M,,,12M,,,,,,,10M,,34M,116M,14M,62M,1M,17M,30M,29M,16M,5M,16M,60M
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9M,5M,3M,2M,,,,,,,,,4M,9M,13M,1M,15M,
Cambodia,1M,2M,5M,11M,39M,40M,37M,20M,15M,18M,6M,22M,106M,123M,23M,,,,43M,,34M,,,13M,67M,68M,134M,50M,10M,119M,45M,,,2M,72M,1M,28M,21M,,,,,,,,,14M,56M,,4M,34M,,77M,67M,,,,,5M,1M,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6M,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,195M,180M,131M,218M,283M,627M,574M,130M,350M,499M,80M,240M,373M,253M,450M,654M,556M,1.19B,380M,1.35B,924M,893M,684M,501M,527M,759M,873M,763M,1.21B,1.84B,1.21B,919M,785M,1.03B,1.03B,1.95B,1.98B,1.23B,1.43B,1.65B,1.4B,772M,528M,752M,1.06B,809M,1.65B,1.73B,1.69B,794M,1.3B,1.57B,1.08B,191M,723M,254M,1.06B,1.05B,1.1B,1.48B,1.32B
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,,,,,,1M
Kuwait,44M,,10M,34M,46M,25M,8M,,104M,97M,54M,111M,30M,,5M,77M,230M,490M,487M,198M,35M,13M,175M,291M,494M,621M,170M,50M,6M,132M,325M,516M,896M,694M,35M,632M,1.19B,478M,46M,212M,245M,67M,23M,43M,2M,12M,5M,288M,5M,9M,85M,113M,31M,73M,692M,339M,164M,111M,95M,51M,67M
Lao,3M,4M,19M,15M,7M,7M,14M,14M,4M,6M,32M,17M,14M,43M,1M,37M,21M,134M,26M,,35M,54M,2M,94M,26M,59M,,29M,18M,,8M,,,,,,,44M,21M,30M,7M,,,0,,4M,,,7M,26M,,14M,19M,19M,,7M,,2M,115M,27M,17M
Lebanon,,3M,13M,18M,,34M,72M,80M,1M,,,7M,49M,41M,28M,11M,3M,8M,2M,19M,37M,9M,36M,93M,192M,71M,,,,,,,40M,40M,18M,42M,27M,9M,7M,4M,4M,,,,,1M,,5M,1M,52M,64M,1M,31M,24M,6M,48M,28M,50M,52M,74M,39M
Liberia,,,,,2M,,,18M,,,,0,1M,,,,2M,,1M,,,,,,,,5M,7M,,12M,3M,,,,,,,,,1M,8M,,,,,,,,,,,,,,,,,,,,0
Libya,14M,17M,2M,3M,15M,9M,26M,12M,57M,155M,371M,533M,534M,733M,1.77B,1.64B,1.88B,3.06B,4.21B,3.17B,2.94B,3.16B,2.75B,1.4B,742M,761M,401M,184M,9M,218M,10M,,,,,,,,,9M,,,,,,1M,16M,16M,16M,22M,37M,8M,73M,116M,,,,,,,
Sri Lanka,4M,,,,0,,,,,2M,,33M,47M,,,1M,0,17M,7M,,18M,,,,48M,42M,27M,110M,19M,5M,19M,166M,22M,35M,74M,64M,207M,48M,83M,62M,293M,158M,42M,33M,46M,56M,95M,90M,79M,21M,4M,21M,,20M,5M,,,45M,100M,59M,
Lesotho,,,,,,,,,,,,,,,,,,1M,,5M,3M,,,1M,,0,10M,,,8M,,4M,,,,,,,5M,,,6M,,,1M,,1M,,,,,,,,,,,1M,1M,1M,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70M,10M,,4M,15M,,15M,5M,6M,16M,12M,2M,47M,9M,52M,4M,27M,27M,8M,1M,1M,73M,3M,13M,28M,10M,6M,61M,211M
Luxembourg,,,,,,,,,,,,,,,1M,,,,,,,,1M,,,,,,,,,,,,,,3M,,,1M,,,,1M,,,,,,7M,7M,,1M,,,,0,0,,,85M
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8M,12M,14M,0,0,0,4M,3M,13M,3M,25M,12M,4M,9M,51M,46M,11M,15M,27M,9M,5M,5M,3M,26M,25M,19M,25M,5M
Morocco,22M,37M,93M,14M,16M,82M,153M,141M,81M,41M,80M,1M,,21M,198M,206M,216M,408M,419M,723M,453M,780M,517M,386M,59M,38M,31M,32M,111M,126M,137M,62M,17M,98M,117M,28M,89M,220M,,60M,125M,11M,155M,12M,14M,101M,47M,27M,46M,39M,306M,1.41B,895M,75M,559M,47M,287M,485M,387M,28M,7M
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8M,,3M,9M,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,3M,,1M,0,7M,,12M,1M,1M,,0,0,,18M,6M,,,,64M,43M,0,,8M,,6M,,,,,,,,,,,21M,,,,,,,,,,,,,0,,,,0,,,,,1M,4M,1M
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,,,,,0,8M,,,,,,,,15M,,,,5M,,,5M,,,,,,,3M
Mexico,6M,44M,107M,60M,38M,11M,21M,14M,,,82M,48M,15M,158M,61M,104M,69M,39M,68M,62M,78M,118M,345M,117M,,8M,144M,155M,98M,64M,35M,45M,19M,160M,133M,50M,87M,485M,23M,141M,227M,152M,96M,31M,320M,33M,75M,,25M,59M,109M,228M,257M,51M,85M,319M,320M,212M,16M,3M,257M
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,,,6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27M,0,,,12M,81M,14M,112M,,,,,0,,,,,,,1M,,,0,,,,
Mali,,3M,10M,4M,,,1M,10M,,2M,,15M,,,,9M,89M,,,,,91M,4M,15M,13M,0,,,1M,,1M,,,,0,,,9M,4M,,7M,,1M,4M,,13M,,8M,3M,10M,,0,9M,6M,1M,,21M,31M,25M,15M,31M
Malta,,,,,,,,,,,,,0,0,,,,,8M,,1M,,,,,,,,,,,,13M,,,0,1M,6M,0,,0,0,,,,18M,,,,,,8M,8M,,12M,,6M,8M,,,
Myanmar,6M,17M,14M,27M,18M,19M,3M,13M,6M,22M,4M,23M,4M,,,53M,10M,9M,25M,21M,41M,,38M,,,,9M,,,34M,266M,232M,64M,323M,97M,223M,118M,231M,156M,141M,16M,154M,157M,95M,194M,160M,175M,153M,80M,62M,56M,667M,395M,250M,99M,244M,283M,212M,115M,233M,148M
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,0,,15M,,2M
Mongolia,10M,66M,90M,86M,120M,137M,116M,63M,15M,14M,15M,13M,8M,58M,76M,190M,26M,24M,42M,29M,60M,72M,152M,114M,110M,98M,27M,36M,27M,,,,,,,,,,,,,,,,,,,,14M,,27M,3M,79M,,,74M,,,,17M,
Mozambique,,,,,,,,,,,,,,,,28M,33M,148M,492M,111M,54M,60M,64M,59M,94M,73M,6M,,,,,,,,,,,,,2M,0,,,1M,,,,,,,,0,0,9M,15M,0,2M,,,22M,
Mauritania,2M,1M,1M,6M,1M,1M,,,,,11M,13M,,1M,5M,5M,10M,24M,17M,24M,,19M,16M,,0,3M,,,,8M,16M,18M,,,16M,2M,2M,8M,4M,,31M,,27M,7M,,,,,,,9M,5M,11M,,8M,1M,35M,,1M,34M,
Mauritius,,,,,,,,,0,,,0,,,2M,,,,,3M,,,,,,1M,,,,,7M,,,8M,,,29M,1M,,,,,,,7M,,,,,,,,,,28M,,26M,19M,,,
Malawi,,,,,5M,,,,,,,,0,,,,2M,6M,7M,8M,14M,14M,,,1M,6M,10M,1M,2M,3M,10M,,,,2M,,,,,,,,,,,,,,3M,,,,1M,2M,2M,2M,1M,,,,
Malaysia,5M,2M,31M,75M,97M,10M,58M,128M,91M,79M,25M,195M,112M,205M,50M,85M,394M,146M,72M,310M,127M,56M,26M,271M,546M,410M,146M,5M,14M,38M,,34M,13M,13M,308M,848M,33M,563M,39M,730M,25M,28M,152M,147M,63M,59M,408M,519M,500M,1.5B,423M,5M,47M,77M,73M,118M,283M,193M,88M,65M,55M
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,4M,,4M,5M,,,21M,11M,,16M,,72M,6M,66M,15M,3M,1M,57M,9M,2M,,3M,35M,,,
Niger,1M,1M,,,1M,1M,,,,2M,1M,12M,,,3M,,,,2M,57M,7M,,6M,13M,3M,,3M,,,,,7M,,,,,,3M,,,,,,5M,,,,,8M,1M,0,0,,13M,4M,10M,,3M,,4M,3M
Nigeria,,1M,8M,9M,2M,116M,99M,45M,46M,39M,14M,12M,113M,7M,24M,424M,104M,68M,136M,87M,502M,326M,626M,42M,359M,574M,214M,115M,62M,15M,18M,3M,59M,41M,95M,2M,15M,1M,,,36M,9M,6M,62M,11M,,15M,60M,33M,65M,188M,62M,28M,29M,218M,186M,50M,41M,49M,18M,125M
Nicaragua,2M,8M,6M,8M,0,0,2M,,,,,5M,5M,10M,,,8M,19M,13M,,,41M,67M,47M,165M,87M,88M,151M,63M,14M,102M,1M,,,,,,,,,,,,,,,,14M,,14M,,,,,13M,15M,86M,7M,,13M,
Netherlands,294M,309M,370M,711M,910M,745M,182M,741M,266M,555M,699M,698M,662M,21M,40M,96M,266M,579M,699M,775M,621M,757M,1.24B,1.36B,1.2B,899M,813M,629M,383M,711M,274M,324M,239M,142M,210M,83M,205M,126M,271M,278M,123M,164M,244M,125M,127M,98M,317M,237M,154M,293M,190M,120M,254M,451M,9M,60M,75M,33M,143M,497M,610M
Norway,145M,93M,60M,227M,260M,371M,773M,696M,289M,524M,145M,86M,68M,63M,55M,49M,35M,27M,24M,44M,251M,435M,457M,441M,337M,122M,141M,198M,308M,667M,369M,322M,254M,181M,94M,79M,152M,159M,152M,155M,229M,99M,90M,9M,6M,14M,557M,596M,615M,583M,159M,606M,143M,51M,16M,143M,140M,352M,532M,379M,450M
Nepal,,,,,,2M,0,,,,8M,8M,3M,1M,2M,15M,6M,,,,,1M,,,3M,3M,,,,1M,,,1M,,,1M,,,,,,11M,9M,9M,34M,6M,,,1M,,,3M,,,5M,14M,8M,1M,7M,36M,
New Zealand,119M,111M,8M,5M,,10M,407M,4M,56M,,168M,133M,20M,19M,7M,48M,7M,34M,,,,31M,62M,100M,41M,9M,29M,5M,59M,26M,23M,42M,55M,36M,16M,7M,7M,309M,16M,304M,,45M,17M,108M,49M,10M,6M,81M,3M,56M,58M,28M,30M,26M,85M,90M,,,6M,3M,129M
Oman,1M,,,1M,1M,1M,2M,7M,5M,36M,26M,60M,11M,71M,67M,181M,150M,250M,81M,43M,12M,72M,182M,356M,120M,86M,49M,40M,19M,119M,59M,,,55M,145M,278M,293M,165M,22M,,120M,33M,40M,36M,41M,170M,296M,12M,72M,94M,31M,21M,120M,487M,714M,127M,423M,777M,277M,86M,85M
Pakistan,42M,69M,88M,180M,85M,214M,594M,153M,418M,559M,447M,553M,664M,162M,230M,241M,279M,264M,649M,710M,854M,485M,537M,777M,856M,747M,280M,616M,411M,962M,643M,498M,379M,1B,890M,366M,500M,691M,699M,874M,182M,419M,565M,652M,476M,443M,356M,694M,1.07B,1.19B,2.21B,1.13B,1.01B,1.09B,828M,779M,837M,837M,799M,521M,759M
Panama,,,,,0,,,,0,3M,15M,18M,2M,16M,,27M,6M,4M,5M,,3M,4M,13M,8M,0,7M,,,23M,2M,,,2M,,,,0,12M,,,,,1M,,,,,,,7M,,,15M,30M,,,3M,15M,11M,,
Peru,191M,96M,14M,24M,18M,52M,65M,28M,188M,89M,35M,157M,160M,449M,562M,555M,374M,939M,776M,639M,706M,865M,278M,324M,356M,257M,248M,614M,240M,10M,97M,108M,124M,42M,175M,46M,122M,312M,51M,96M,24M,5M,16M,22M,47M,368M,193M,172M,,43M,46M,63M,10M,22M,152M,212M,223M,65M,94M,0,19M
Philippines,51M,45M,11M,4M,2M,102M,86M,43M,16M,26M,9M,90M,52M,117M,53M,133M,256M,198M,143M,92M,75M,39M,17M,117M,39M,23M,,26M,12M,19M,33M,34M,43M,61M,71M,27M,40M,70M,64M,,,10M,5M,10M,34M,12M,23M,16M,10M,1M,3M,63M,16M,78M,12M,153M,230M,276M,20M,189M,349M
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,,,,,,6M,,,,,,,,,,,,,,,,,,,,,,,,7M
Papua New Guinea,,,,,,,,,,,,,,,,32M,,3M,2M,,,2M,5M,,3M,,8M,12M,6M,6M,4M,10M,10M,,1M,,0,7M,,,,,,,,,,,,,,,,,3M,,,4M,7M,,
Poland,853M,849M,688M,1B,1.56B,1.16B,981M,746M,861M,933M,933M,925M,851M,1.05B,1.07B,966M,788M,928M,1.11B,1.13B,1.09B,808M,724M,528M,462M,918M,1.38B,1.02B,896M,498M,227M,76M,95M,5M,69M,245M,102M,1M,3M,25M,148M,33M,256M,350M,226M,103M,439M,966M,632M,190M,169M,137M,223M,145M,259M,140M,55M,154M,74M,325M,193M
North Korea,405M,69M,181M,197M,168M,117M,855M,854M,1.3B,605M,629M,1.57B,568M,640M,933M,636M,502M,312M,369M,238M,416M,263M,549M,511M,283M,1.04B,1.1B,849M,854M,595M,295M,198M,137M,93M,35M,143M,78M,9M,9M,179M,18M,28M,9M,8M,8M,5M,5M,5M,5M,4M,1M,,,,,,,,,,
Portugal,31M,150M,28M,41M,45M,62M,235M,298M,388M,359M,370M,177M,16M,16M,117M,326M,64M,94M,128M,5M,36M,50M,190M,4M,109M,154M,5M,9M,90M,136M,73M,1.01B,19M,361M,453M,20M,7M,0,16M,3M,2M,19M,,29M,70M,158M,220M,60M,144M,370M,893M,167M,39M,12M,3M,1M,21M,8M,20M,43M,47M
Paraguay,9M,,11M,0,8M,1M,1M,5M,9M,,0,1M,12M,0,1M,20M,3M,,9M,1M,18M,5M,3M,1M,3M,34M,4M,,14M,,6M,3M,1M,,,,2M,,,,,6M,,,4M,1M,,,,,3M,8M,7M,0,,,,,,2M,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5M,1M,9M,,,,,,,,,,,2M,,14M,6M,,,,,,,,,2M,
Qatar,,,,,,,,,2M,3M,6M,16M,,,,38M,26M,55M,16M,14M,55M,46M,128M,470M,328M,2M,2M,57M,91M,10M,5M,17M,64M,11M,10M,11M,201M,242M,300M,72M,14M,11M,11M,11M,,,,27M,,286M,30M,198M,317M,68M,55M,519M,905M,665M,620M,2.36B,783M
Romania,113M,27M,181M,227M,418M,518M,401M,442M,591M,399M,561M,474M,501M,539M,683M,646M,295M,349M,298M,645M,528M,478M,448M,285M,241M,331M,450M,215M,193M,276M,606M,63M,184M,14M,29M,2M,39M,61M,170M,142M,21M,24M,21M,17M,285M,437M,61M,98M,76M,56M,107M,80M,21M,20M,0,22M,177M,88M,37M,13M,187M
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40M,,,,,,,,,,,,,,4M,90M,,8M,25M,10M,121M,183M,218M,85M,145M,93M,26M,,
Rwanda,,,5M,,0,0,,,,,,0,0,2M,1M,3M,,1M,,,,,,4M,6M,3M,2M,,2M,,1M,2M,5M,,,,1M,2M,9M,20M,14M,,,,,,3M,20M,8M,11M,,,5M,15M,14M,27M,,8M,3M,1M,
Saudi Arabia,17M,12M,22M,,5M,48M,227M,221M,456M,383M,54M,10M,104M,185M,378M,479M,612M,951M,1.02B,765M,1.09B,1.81B,2.21B,1.82B,836M,1.33B,2.85B,2B,776M,1.38B,2.04B,1.04B,1.13B,2.38B,981M,983M,1.73B,2.79B,2.9B,1.58B,85M,61M,567M,167M,1.17B,166M,205M,230M,391M,824M,1.08B,1.22B,1.03B,1.61B,2.74B,3.38B,2.96B,3.93B,3.31B,3.42B,2.47B
Sudan,9M,15M,19M,8M,36M,5M,5M,2M,16M,177M,598M,87M,69M,23M,3M,,,26M,208M,4M,3M,204M,90M,25M,106M,65M,9M,122M,77M,16M,3M,46M,6M,,,3M,27M,63M,,36M,,106M,49M,204M,293M,132M,69M,33M,128M,89M,182M,173M,95M,130M,61M,124M,109M,68M,34M,18M,
Senegal,0,8M,,0,4M,0,1M,,1M,19M,,12M,,1M,17M,,14M,41M,20M,29M,,,7M,38M,4M,,14M,18M,,,,,,,1M,6M,,,,,,,,,,15M,9M,12M,6M,4M,4M,16M,,5M,7M,16M,40M,47M,12M,42M,22M
Singapore,,,,,,1M,8M,,6M,138M,92M,165M,177M,99M,295M,255M,254M,171M,50M,338M,410M,167M,176M,245M,83M,123M,75M,277M,543M,234M,523M,371M,111M,170M,182M,305M,171M,624M,813M,313M,798M,255M,236M,86M,379M,541M,72M,358M,1.11B,1.43B,958M,895M,745M,749M,65M,147M,633M,430M,594M,636M,74M
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6M,,,6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,7M,
Sierra Leone,,,,,,,,,,,,,,28M,,,1M,,2M,,42M,,,1M,3M,,,18M,,,,,1M,,6M,14M,,16M,,12M,,,,,,,9M,,,,,2M,0,1M,,0,1M,,,,
El Salvador,,,,0,,1M,1M,0,20M,8M,9M,1M,,1M,29M,46M,15M,8M,1M,8M,12M,5M,38M,12M,62M,44M,5M,,,,,21M,4M,2M,,4M,4M,,2M,,,,19M,10M,,,,,3M,,,,2M,,20M,,1M,,,6M,
Somalia,10M,2M,0,11M,,30M,52M,72M,4M,1M,,,21M,165M,283M,128M,180M,44M,57M,48M,120M,97M,61M,23M,12M,42M,15M,,,,16M,,,,,,,,,1M,,,,,,,,,,,,,,3M,,1M,2M,2M,,8M,3M
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4M,2M,2M,8M,1M,13M,6M,1M,1M,27M,,,,,,,,,16M,,0,,,,14M,65M,3M,157M,133M
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37M,44M,1M,2M,61M,2M,9M,35M,19M,8M,,,,
Suriname,,,,,,,,,,,,,,,,0,5M,10M,,,,0,2M,,7M,,5M,2M,,,,,,,,,,,,23M,2M,,,,,,,,,,,,0,7M,,3M,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146M,29M,208M,29M,,,,0,,27M,,,4M,,0,0,9M,9M,,2M,5M,,,,47M,34M,36M,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,10M,22M,11M,22M,20M,8M,4M,19M,2M,41M,2M,17M,17M,3M,3M,2M,,10M,40M,28M,,,1M,,,,,,
Sweden,233M,157M,133M,307M,397M,289M,280M,326M,226M,138M,108M,86M,161M,231M,256M,292M,214M,100M,197M,247M,246M,452M,171M,179M,109M,82M,160M,159M,135M,105M,90M,49M,60M,39M,297M,101M,95M,195M,294M,224M,206M,165M,76M,64M,47M,78M,129M,51M,53M,17M,11M,191M,207M,56M,45M,14M,70M,46M,7M,7M,3M
Eswatini,,,,,,,,,,,,,,,,,,,,6M,,,,,,,,,,,,,,,,,,,,,1M,1M,,,,,,,,,,,,,,,,,,,2M
Seychelles,,,,,,,,,,,,,,,,,,1M,,19M,6M,1M,2M,15M,,,10M,,1M,,0,,,,,,,,,,,,,,,15M,,,,,,7M,,8M,16M,,8M,,8M,,
Syria,37M,12M,20M,74M,50M,77M,508M,889M,805M,852M,880M,731M,1.5B,3.27B,3.42B,1.41B,500M,931M,871M,2.04B,1.86B,1.34B,1.97B,2.23B,1.81B,1.57B,1.26B,1.41B,1.31B,663M,739M,321M,243M,173M,19M,35M,35M,35M,55M,58M,64M,28M,45M,69M,25M,35M,100M,20M,294M,205M,413M,493M,516M,506M,21M,22M,8M,25M,181M,,72M
Chad,1M,1M,,,,0,,,,,,4M,,3M,9M,10M,8M,3M,,,10M,,,33M,9M,1M,22M,21M,9M,57M,,,,,3M,1M,,,7M,7M,,16M,,,,,17M,20M,75M,35M,38M,1M,4M,59M,58M,1M,2M,6M,3M,1M,2M
Togo,1M,,,,0,0,,,1M,1M,2M,1M,,2M,,14M,50M,1M,9M,9M,28M,19M,4M,2M,,,17M,0,1M,,,9M,8M,,3M,3M,,9M,,,,,,,,,,,,,1M,,,,15M,,,,,1M,1M
Thailand,28M,57M,110M,110M,97M,89M,113M,152M,69M,135M,214M,240M,202M,342M,97M,77M,148M,104M,325M,171M,307M,320M,82M,325M,387M,185M,164M,540M,610M,269M,230M,576M,498M,185M,610M,527M,737M,935M,77M,168M,85M,117M,152M,131M,114M,70M,47M,8M,16M,63M,48M,268M,278M,357M,95M,174M,336M,302M,627M,295M,132M
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27M,,,,,,,,,,,,13M,7M,,34M,,,,3M,,,8M,19M,3M,4M,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18M,21M,,,,7M,36M,27M,235M,109M,71M,72M,172M,431M,92M,,,10M
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18M,14M,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6M,6M,6M,,,,,0,,,,,,,,,,,,,,,,,,,5M,,,,7M,7M
Trinidad and Tobago,,,,,,11M,0,,,,,,11M,2M,,,,,,,22M,6M,,,,,,0,,,,,,,,,,,,,11M,0,2M,,,,,6M,,,24M,12M,12M,,,46M,30M,,,,
Tunisia,44M,6M,,7M,4M,40M,,5M,17M,23M,44M,0,4M,26M,14M,15M,10M,73M,14M,122M,103M,56M,59M,103M,116M,321M,,56M,17M,48M,4M,20M,32M,,35M,56M,68M,39M,18M,11M,,,44M,1M,,168M,2M,,3M,,7M,7M,,38M,45M,7M,35M,89M,180M,15M,15M
Turkey,592M,312M,300M,616M,835M,412M,335M,593M,426M,644M,396M,941M,1.09B,789M,1.28B,639M,365M,298M,989M,919M,488M,732M,483M,478M,560M,690M,484M,1.44B,1.64B,1.03B,1.28B,1.25B,1.89B,2.35B,1.89B,1.57B,1.49B,1.52B,2.64B,1.74B,1.18B,509M,900M,330M,257M,1.09B,531M,692M,640M,732M,485M,780M,1.5B,793M,1.52B,438M,328M,428M,487M,754M,86M
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6M,,,,,,,,,,,,,,,,,,,,,,,,,7M,
Tanzania,,,,,4M,4M,22M,1M,,,11M,60M,47M,118M,181M,48M,,44M,63M,260M,53M,121M,9M,,,,1M,,,5M,,,18M,,4M,,4M,,,,2M,,1M,51M,,10M,12M,1M,,25M,,78M,115M,118M,14M,20M,20M,2M,32M,,
Uganda,,,,,3M,1M,16M,4M,27M,12M,7M,3M,20M,17M,46M,123M,34M,5M,,,,,14M,,,10M,,31M,1M,20M,,,,,,32M,,,55M,39M,6M,,33M,,36M,10M,5M,0,14M,25M,37M,469M,216M,20M,1M,6M,1M,21M,10M,36M,13M
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,23M,5M,4M,70M,26M,18M
Uruguay,17M,0,100M,0,2M,8M,6M,,10M,12M,10M,16M,24M,6M,5M,3M,53M,2M,8M,9M,21M,100M,15M,17M,,8M,,,16M,41M,41M,63M,26M,18M,11M,12M,4M,19M,27M,8M,4M,,13M,,,20M,8M,3M,78M,29M,20M,,,3M,9M,8M,,,10M,1M,25M
USA,221M,238M,264M,323M,326M,190M,109M,84M,70M,70M,43M,587M,779M,664M,592M,393M,499M,384M,369M,253M,380M,531M,248M,463M,381M,655M,420M,1.99B,1.79B,1.78B,367M,520M,535M,963M,950M,757M,557M,582M,266M,222M,336M,499M,511M,610M,578M,537M,646M,832M,967M,977M,1.09B,1.01B,1.21B,791M,590M,513M,451M,516M,380M,866M,687M
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8M,9M,,,,,,,,30M,,,,17M,100M,56M,,131M,53M,46M
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,64M,32M,32M,34M,2M,,33M,236M,20M,8M,15M,119M,164M,394M,251M,228M,176M,220M,59M,14M,368M,917M,701M,240M,229M,515M,92M,77M,101M,120M,190M,320M,73M,38M,1M,5M,35M,37M,8M,85M,106M,103M,50M,15M,9M,21M,377M,775M,739M,358M,208M,596M,687M,993M,181M,167M,137M,,,,51M
Vietnam,103M,95M,47M,107M,248M,639M,1.13B,1.09B,1.17B,893M,1.2B,1.18B,1.31B,1.28B,851M,485M,42M,42M,227M,1.25B,1.02B,1.08B,529M,913M,554M,28M,78M,50M,65M,128M,116M,,,,,281M,212M,110M,220M,163M,7M,95M,58M,22M,294M,221M,42M,8M,183M,60M,150M,1.01B,780M,362M,1.21B,855M,909M,783M,604M,160M,41M
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7M,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78M,113M,,,4M,171M,,,1M,51M,158M,85M,592M,58M,248M,311M,38M,66M,40M,5M,258M,45M,38M,23M,6M,33M,7M,6M,9M,,
South Africa,13M,,215M,476M,266M,350M,471M,260M,183M,176M,475M,274M,227M,311M,193M,226M,415M,508M,391M,130M,200M,121M,49M,225M,127M,28M,212M,21M,7M,13M,13M,28M,363M,244M,241M,42M,42M,11M,,21M,6M,18M,,,,267M,741M,910M,493M,134M,180M,212M,132M,2M,50M,2M,,,,,
Zambia,,,,,7M,16M,17M,,,7M,4M,165M,29M,19M,9M,48M,109M,40M,42M,4M,136M,216M,48M,13M,18M,,,,,,,,,,,,6M,,,,33M,,2M,,,0,28M,4M,2M,,,1M,66M,,,14M,43M,44M,,38M,1M
Zimbabwe,15M,,16M,20M,,,,16M,,,,2M,11M,0,2M,31M,16M,4M,13M,,,15M,80M,34M,26M,28M,212M,29M,2M,,2M,42M,60M,0,,,,,1M,25M,3M,10M,,16M,13M,25M,25M,,,,,,,,,,,,,,
